Energy (eV),Derivative of intensity (a.u.)
31.8191161356629,0.061433447098976135
31.901336073997943,0.060295790671217264
31.98355601233299,0.060295790671217264
32.06577595066803,0.060295790671217264
32.147995889003084,0.060295790671217264
32.23021582733813,0.060295790671217264
32.31243576567317,0.060295790671217264
32.39465570400822,0.061433447098976135
32.476875642343266,0.061433447098976135
32.55909558067832,0.0625711035267349
32.64131551901336,0.06370875995449377
32.723535457348405,0.06484641638225253
32.805755395683455,0.06484641638225253
32.8879753340185,0.06825938566552903
32.97019527235354,0.06939704209328779
33.052415210688594,0.07053469852104666
33.13463514902364,0.07736063708759955
33.21685508735868,0.07736063708759955
33.29907502569373,0.08759954493742894
33.381294964028775,0.08759954493742894
33.46351490236382,0.10011376564277585
33.54573484069887,0.10011376564277585
33.627954779033914,0.11376564277588164
